序号,UT,题名,判定,理由/标签,判定阶段
168,WOS:000874206600001,Framework for Designing Virtual Water and Power Supply Networks with Interdependent Characteristics for Resilience Assessment,A,虚拟水-电供应网络互依韧性设计,题目+关键词
169,WOS:000534685400073,Guilan combined power plant in Iran: As case study for feasibility investigation of converting the combined power plant into water and power unit,X,过程级(电厂改造为水电联产可行性),题目+关键词
170,WOS:001729919500001,Improving Healthcare Resilience in Wars: Insights from Recent Conflicts,X,战时医疗韧性,题目+关键词
171,WOS:001171564800001,Improved modelling for ammonia-water power cycle coupled with turbine optimization design: A comparison study,X,氨-水动力循环(热力循环),题目+关键词
172,WOS:001115486700001,Contemporary climate analogs project strong regional differences in the future water and electricity demand across US cities,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
173,WOS:000387087500055,"An African Solution for Water and Electricity Supply, Using a Standalone Photovoltaic Based Quasi Z Source Inverter",X,独立光伏供电电力电子(水+电供应),题目+关键词
174,WOS:001259357200001,Decision support for prioritizing critical societal services in optimal post-disaster critical lifeline recovery,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
175,WOS:000867888700016,Postdisaster Recovery Planning for Interdependent Infrastructure Systems Prioritizing the Functionality of Healthcare Facilities,X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
176,WOS:000522955500002,Heat recovery from sulfuric acid plants for seawater desalination using RO and MED systems,X,硫酸厂余热海水淡化,题目+关键词
177,WOS:001729795500001,Comprehensive performance evaluation of a photovoltaic-thermal driven energy storage and co-production of electricity and water system,X,器件级(PVT驱动电-水联产),题目+关键词
178,WOS:000266027001101,"Seismic assessment of utility systems: Application to water, electric power and transportation networks",X,"[B终筛剔除:通用生命线/相依基础设施方法或调查,无市政供水-城市电力实质耦合建模]",摘要复核(B类终筛)
179,WOS:001706031300001,A Bayesian Network-based system framework for seismic resilience assessment of nuclear power plants,X,核电站抗震韧性,题目+关键词
180,WOS:000328064100042,Network Capacity Assessment of Combined Heat and Power-Based Distributed Generation in Urban Energy Infrastructures,A,城市电力-配水系统互依:CHP-DG接入容量与选址综合调度(ACOPF+配水网)[捞回],摘要复核(多系统耦合捞回)
181,WOS:000371253100009,Derivation of water and power operating rules for multi-reservoirs,X,"[B终筛剔除:nexus资源侧(水电调度/电厂冷却水/区域水资源),非市政供水网]",摘要复核(B类终筛)
182,WOS:000277833800010,Preliminary Study on Ecological Bank (Island) Protection and its Impact on Flood Discharge,X,河道生态护岸工程,题目+关键词
183,WOS:000492146100013,A Secure Dual-MCU Architecture for Robust Communication of IIoT Devices,X,IIoT双MCU安全架构,题目+关键词
184,WOS:001570060700001,"The Multiscale Assessment of Infrastructure Vulnerability to River Floods in Andean Areas: A Case Study of the Chibunga River in the Parish of San Luis, Ecuador",X,洪水基础设施脆弱性(安第斯),题目+关键词
185,WOS:000392270100090,"Flood vulnerability of critical infrastructure in Cork, Ireland",X,洪水基础设施脆弱性(科克),题目+关键词
186,WOS:A1982QP48200006,INCREASING THE RELIABILITY AND EFFICIENCY OF STEAM-WATER POWER GENERATING PLANT BY ADDING SURFACE-ACTIVE SUBSTANCES,X,电厂汽水系统化学添加剂,题目+关键词
187,WOS:000328546700005,Resources for Business Continuity in Disaster-Based Hospitals in the Great East Japan Earthquake: Survey of Miyagi Prefecture Disaster Base Hospitals and the Prefectural Disaster Medicine Headquarters,X,医院业务连续性,题目+关键词
188,WOS:001099745000001,Electricity and water cogeneration using a small PWR of 75 MW(th) coupled to a DCMD desalination plant with heat recovery,X,过程级(小型PWR+DCMD淡化联产),题目+关键词
189,WOS:000386408400001,Thermoeconomic and exergy analysis in using hybrid systems (GT plus MED plus RO) for desalination of brackish water in Persian Gulf,X,过程级(GT+MED+RO混合淡化),题目+关键词
190,WOS:000337360100005,Probabilistic analysis of interdependent infrastructures subjected to weather-related hazards,A,"天气灾害下互依基础设施概率分析(电-水,洪水)",摘要
191,WOS:000302541600009,Strategies to reduce durations of post-earthquake water service interruptions in Los Angeles,X,"[B终筛剔除:单一系统(纯供水/纯电网)韧性,无水电耦合]",摘要复核(B类终筛)
192,WOS:001434966600001,Cascading failure analysis of interdependent water-power networks based on functional coupling,A,"级联失效(功能耦合水-电网络,地震)",题目+关键词
193,WOS:000426942300012,HIGH INTEGRITY ELECTRICAL POWER SYSTEM OFFSHORE OIL & GAS FACILITY,X,海上油气平台电力系统,题目+关键词
194,WOS:000489897600017,Vulnerability of existing and planned coal-fired power plants in Developing Asia to changes in climate and water resources,X,煤电水资源脆弱性(nexus资源侧),题目+关键词
195,WOS:001594531700014,Supervised Machine Learning Techniques to Calculate the Robustness of Networks,X,机器学习网络鲁棒性(通用),题目+关键词
196,WOS:000423796000002,Aircraft detection in remote sensing images based on saliency and convolution neural network,X,遥感飞机检测,题目+关键词
197,WOS:001639785800001,Assessment of urban critical infrastructure resilience: integrating uncertainty failures and cascading failures,A,城市电/水/气级联失效韧性(不确定性失效),摘要
198,WOS:000403403400088,An Agent-based Model for the Evidence-Based Long Term Planning of Power and Water Critical Infrastructures,A,电力+供水基础设施长期规划(ABM),题目+关键词
199,WOS:001562325000001,Evaporation-Driven Fabric for Synergistic Water-Electricity-Lithium Co-Production,X,材料级(蒸发织物水-电-锂联产),题目+关键词
200,WOS:000544993600029,Autonomous desalination for improving resilience and sustainability of water management in North Cyprus,X,[B终筛剔除:淡化水/离网独立水电联产系统(口径外)],摘要复核(B类终筛)
201,WOS:000473750500062,"Disaster Risk Resilience in Colima-Villa de Alvarez, Mexico: Application of the Resilience Index to Flash Flooding Events",X,洪灾韧性指数(社会感知),题目+关键词
202,WOS:000233488800023,The Ghalilah SWRO plant: an overview of the solutions adopted to minimize energy consumption,X,SWRO淡化厂能耗优化,题目+关键词
203,WOS:000375515500038,The vulnerability of thermoelectric power generation to water scarcity in China: Current status and future scenarios for power planning and climate change,X,火电水资源稀缺脆弱性(nexus资源侧),题目+关键词
204,WOS:000604833700003,Design and analysis of a hybrid solar power plant for co-production of electricity and water: a case study in Iran,X,过程级(混合太阳能电-水联产),题目+关键词
205,WOS:000838527800016,Optimal Operation of Integrated Water-Power Systems Under Contingencies,A,应急状态下综合水-电系统优化运行,题目+关键词
206,WOS:000399623600069,Optimization of a residential district with special consideration on energy and water reliability,X,[B终筛剔除:社区/海岛/校园/建筑级微型水电系统(非城市电力系统)],摘要复核(B类终筛)
207,WOS:000821959500114,Coordination Framework for Integrated Operation of Water-Power Systems under Contingencies,A,应急状态下耦合水-电系统协调运行,题目+关键词
208,WOS:001540105000001,Mastering the complexity: An enhanced cellular automata-based framework for simulating resilience of hospital Power-Water-Firefighting-Space nexus system,X,[B终筛剔除:社区/海岛/校园/建筑级微型水电系统(非城市电力系统)],摘要复核(B类终筛)
209,WOS:000706313000038,Regional-scale water-energy nexus management by a mixed Possibilistic-Flexible robust nonlinear programming model,X,"[B终筛剔除:nexus资源侧(水电调度/电厂冷却水/区域水资源),非市政供水网]",摘要复核(B类终筛)
210,WOS:000078605500218,Lifeline seismic performance of electric power systems during the Northridge earthquake,X,纯电力(地震下电力系统生命线性能),题目+关键词
211,WOS:000450163701153,Electric Infrastructures Equalized to Strategic for Disaster Recovery in Emergencies,X,纯电力(电气基础设施灾后恢复),题目+关键词
212,WOS:001286941200001,"Comprehensive Review for Energy Recovery Technologies Used in Water Distribution Systems Considering Their Performance, Technical Challenges, and Economic Viability",X,[B终筛剔除:供水系统内水力发电/能量回收/抽蓄设备(口径外)],摘要复核(B类终筛)
213,WOS:000423009500055,Sustainable planning of the energy-water-food nexus using decision making tools,X,"[B终筛剔除:nexus资源侧(水电调度/电厂冷却水/区域水资源),非市政供水网]",摘要复核(B类终筛)
214,WOS:000329377800145,Electricity production from a bio-electrochemical cell for silver recovery in alkaline media,X,生物电化学银回收,题目+关键词
215,WOS:000395228000008,"Conceptual designs of integrated process for simultaneous production of potable water, electricity, and salt",X,过程级(饮用水+电+盐联产工艺),题目+关键词
216,WOS:001810483200001,"Energy-water management for sustainable development: Low-carbon coordinated scheduling of wastewater treatment plants, power and water distribution networks via Nash bargaining",A,低碳协调调度(污水厂+电网+配水网),题目+关键词
217,WOS:000403624400010,Performance simulation of a power-water combined plant driven by low grade waste heat,X,过程级(低品位余热电-水联产),题目+关键词
218,WOS:000696977300004,4E investigating of a combined power plant and converting it to a multigeneration system to reduce environmental pollutant production and sustainable development,X,过程级(多联产系统4E分析),题目+关键词
